relative_path,file_type,category,phase,version,status,checkpoint_dependency,hardcoded_path_risk,move_risk,recommended_destination,notes
./_archive_legacy.py,py,legacy,Phase 1,,active,shufflenet_v2_3class_ablation_a.pth|shufflenet_v2_3class_ablation_b.pth|shufflenet_v2_3class_ffhq_v3.pth|shufflenet_v2_3class_v3_1.pth|shufflenet_v2_3class_v4.pth|shufflenet_v2_3class_v5.pth|shufflenet_v2_3class_v5_1.pth|shufflenet_v2_3class_v6.pth|shufflenet_v2_3class_v7.pth|shufflenet_v2_3class_v71.pth|shufflenet_v2_3class_v710.pth|shufflenet_v2_3class_v72.pth|shufflenet_v2_3class_v73.pth|shufflenet_v2_3class_v74.pth|shufflenet_v2_3class_v75.pth|shufflenet_v2_3class_v76.pth|shufflenet_v2_3class_v77.pth|shufflenet_v2_3class_v78.pth|shufflenet_v2_3class_v79.pth|shufflenet_v2_3class_v8.pth|shufflenet_v2_3class_v81.pth|shufflenet_v2_3class_v810a.pth|shufflenet_v2_3class_v810b.pth|shufflenet_v2_3class_v810b_disjoint.pth|shufflenet_v2_3class_v810b_dose1200.pth|shufflenet_v2_3class_v810b_dose1200_run2.pth|shufflenet_v2_3class_v810b_dose1200_run3.pth|shufflenet_v2_3class_v810b_dose600.pth|shufflenet_v2_3class_v810b_lite.pth|shufflenet_v2_3class_v82.pth|shufflenet_v2_3class_v83.pth|shufflenet_v2_3class_v84.pth|shufflenet_v2_3class_v85.pth|shufflenet_v2_3class_v86.pth|shufflenet_v2_3class_v87.pth|shufflenet_v2_3class_v88.pth|shufflenet_v2_3class_v89a.pth|shufflenet_v2_3class_v89b.pth|shufflenet_v2_3class_v89c.pth|shufflenet_v2_3class_v89d_mini.pth|shufflenet_v2_3class_v89d_plus.pth|shufflenet_v2_3class_v89e_focal.pth,YES,MEDIUM,archive/,
./analyse_robustness_confusion.py,py,audit_script,Phase 3,,active,,YES,MEDIUM,future: scripts/audit/,
./analyse_shadow_error_destination.py,py,audit_script,Phase 3,,active,shufflenet_v2_layer1_v811d.pth|shufflenet_v2_layer2_v811.pth,YES,MEDIUM,future: scripts/audit/,touches production checkpoint(s)
./analyze_L1_routing_shift.py,py,audit_script,Phase 1,,active,,YES,MEDIUM,future: scripts/audit/,
./analyze_ffpp_auroc_both.py,py,audit_script,Phase 3,,active,shufflenet_v2_layer1_v811d.pth|shufflenet_v2_layer2_v811.pth,YES,MEDIUM,future: scripts/audit/,touches production checkpoint(s)
./analyze_ffpp_zeroshot_detail.py,py,audit_script,Phase 3,,active,shufflenet_v2_layer1_v811d.pth|shufflenet_v2_layer2_v811.pth,YES,MEDIUM,future: scripts/audit/,touches production checkpoint(s)
./analyze_leakage_detail.py,py,audit_script,Phase 1,,active,,YES,MEDIUM,future: scripts/audit/,
./audit_base_image_geometry.py,py,audit_script,Phase 1,,active,,YES,MEDIUM,future: scripts/audit/,
./audit_cellC_checkpoint_ancestry.py,py,audit_script,Phase 1,,active,shufflenet_v2_layer2_v815ablation_cellC_unfreeze1_inv0.pth,YES,MEDIUM,future: scripts/audit/,
./audit_full_leakage_composition.py,py,audit_script,Phase 1,,active,,YES,MEDIUM,future: scripts/audit/,
./audit_identity_disjoint_recall.py,py,audit_script,Phase 1,,active,shufflenet_v2_layer1_v811d.pth|shufflenet_v2_layer2_v811.pth,YES,MEDIUM,future: scripts/audit/,touches production checkpoint(s)
./audit_identity_leakage.py,py,audit_script,Phase 1,,active,,YES,MEDIUM,future: scripts/audit/,
./audit_retouchingffhq_full_pairing.py,py,audit_script,Phase 1,,active,,YES,MEDIUM,future: scripts/audit/,
./audit_shadow_filter_strength.py,py,audit_script,Phase 3,,active,,YES,MEDIUM,future: scripts/audit/,
./audit_truetest_pairing.py,py,audit_script,Phase 1,,active,,YES,MEDIUM,future: scripts/audit/,
./benchmark_mobile_artifacts.py,py,deployment_script,Phase 3,,active,shufflenet_v2_layer1_v811d.pth|shufflenet_v2_layer2_v811.pth,YES,MEDIUM,future: scripts/deployment/,touches production checkpoint(s)
./build_all_clean_outputs.py,py,core_code,Phase 1,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_celebdf_blind_holdout.py,py,core_code,Phase 3,,active,shufflenet_v2_3class_v81.pth,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_lfw_filter_train.py,py,core_code,Phase 1,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_midjourney_clean_output.py,py,core_code,Phase 1,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_p3m1_fake_labels.py,py,core_code,Phase 1,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_p3m1_filter_attributes.py,py,core_code,Phase 1,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_phase2_evidence_pack.py,py,xai_script,Phase 2,,active,shufflenet_v2_3class_v88.pth|shufflenet_v2_layer1_v811c.pth|shufflenet_v2_layer1_v811d.pth,YES,MEDIUM,future: scripts/xai/,touches production checkpoint(s)
./build_review_all.py,py,core_code,Phase 1,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_shadow_set.py,py,core_code,Phase 3,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_truetest_set.py,py,core_code,Phase 1,,active,,YES,MEDIUM,future: scripts/data_prep/ or keep at root (case-by-case),
./build_ultimate_test_split.py,py,split,Phase 1,,active,,YES,MEDIUM,future: scripts/splits_builders/,
./build_v811_layer1_splits.py,py,split,Phase 1,v811_layer1,active,,YES,MEDIUM,future: scripts/splits_builders/,
./build_v811_layer1b_splits.py,py,split,Phase 1,v811_layer1b,active,,YES,MEDIUM,future: scripts/splits_builders/,
./build_v811_layer1c_splits.py,py,split,Phase 1,v811_layer1c,active,,YES,MEDIUM,future: scripts/splits_builders/,
